company,stage,country,longitude,latitude,precision
Congo Dongfang Mining (CDM),Smelting,Democratic Republic of the Congo,27.478643,-11.585547,exact_stage
Dinamitiere,source,Democratic Republic of the Congo,25.380275,-10.747184,exact_company
Tengyuan Cobalt & Copper Resources (TCC),Artisanal processing,Democratic Republic of the Congo,25.481988,-10.635985,exact_stage
Tengyuan Cobalt Industrial Co.,Smelting,China,115.069227,25.912154,exact_stage
Ganzhou Tengyuan Cobalt Industrial Co Ltd,Refining,China,115.069227,25.912154,exact_stage
Ganzhou Tengyuan Cobalt Industrial Co Ltd,Precursor manufacturing,China,115.069227,25.912154,exact_stage
XTC New Energy Materials,Cathode manufacturing,China,117.974886,24.469438,exact_stage
Drain UCK,source,Democratic Republic of the Congo,25.454012,-10.676909,exact_company
Goma2,source,Democratic Republic of the Congo,25.800668,-10.625469,exact_company
Kamilombe,source,Democratic Republic of the Congo,25.407748,-10.739316,exact_company
Kamilombe2,source,Democratic Republic of the Congo,25.378621,-10.749681,exact_company
Kamoto Copper Company (KCC),source,Democratic Republic of the Congo,25.388308,-10.683129,exact_company
Kamoto Copper Company (KCC),Smelting,Democratic Republic of the Congo,25.388308,-10.683129,exact_stage
Glencore,Trading,Switzerland,8.527233,47.18132,exact_stage
GEM (Green Eco-manufacture Hi-tech),Refining,China,120.080289,32.167257,exact_stage
GEM (Green Eco-manufacture Hi-tech),Precursor manufacturing,China,112.200766,30.948562,exact_stage
GEM (Green Eco-manufacture Hi-tech),Cathode manufacturing,South Korea,127.449407,36.73104,exact_stage
SK Innovation,Battery cell manufacturing,South Korea,126.452808,36.853648,exact_stage
Xiamen Tungsten,Cathode manufacturing,China,117.979519,24.466685,exact_stage
Umicore S.A.,Refining,Finland,23.051186,63.861931,exact_stage
Umicore S.A.,Precursor manufacturing,Finland,23.051186,63.861931,exact_stage
Umicore S.A.,Cathode manufacturing,South Korea,127.113754,36.837631,exact_stage
Automotive Cells Company (ACC),Battery cell manufacturing,France,2.346429,48.868152,exact_stage
PowerCo,Battery cell manufacturing,Germany,10.444951,52.1839,exact_stage
Karajipopo,source,Democratic Republic of the Congo,26.693161,-10.941506,exact_company
Metal Mines Sarl,Artisanal processing,Democratic Republic of the Congo,26.787897,-10.99609,exact_stage
"Nanjing Hanrui Cobalt Industry (Hong Kong) Co., Ltd.",Smelting,China,118.799633,31.93197,exact_stage
Kasulo CDM,source,Democratic Republic of the Congo,25.488915,-10.701556,exact_company
Metalkol Roan Tailings Reclamation (RTR),source,Democratic Republic of the Congo,25.425229,-10.63904,exact_company
Metalkol Roan Tailings Reclamation (RTR),Smelting,Democratic Republic of the Congo,25.425229,-10.63904,exact_stage
China Railway Resources Group,Trading,China,116.276358,39.916058,exact_stage
Telf AG,Trading,Switzerland,8.944473,46.00528,exact_stage
Honda Motor China Investment Co. Ltd.,Electric car/scooter manufacturing,China,116.461018,39.952491,exact_stage
Stellantis,Battery pack manufacturing,The Netherlands,4.698317,52.29517,exact_stage
LG Chem,Battery pack manufacturing,South Korea,126.929286,37.527979,exact_stage
"Segway-Ninebot / Nine Robot Co., Ltd.",Electric car/scooter manufacturing,China,116.355666,40.048102,exact_stage
Chaowei Power Group Co. Ltd.,Battery cell manufacturing,China,119.90706,30.978329,exact_stage
HELLA,Battery pack manufacturing,China,121.598891,31.182309,exact_stage
Minière de Kasombo (MIKAS),source,Democratic Republic of the Congo,26.623438,-10.889901,exact_company
Mutanda Mining (MUMI),source,Democratic Republic of the Congo,25.798821,-10.796966,exact_company
Mutanda Mining (MUMI),Smelting,Democratic Republic of the Congo,25.798821,-10.796966,exact_stage
Shikiya Bintu,source,Democratic Republic of the Congo,25.708239,-10.762903,exact_company
Sicomines,source,Democratic Republic of the Congo,25.367356,-10.721101,exact_company
Sicomines,Smelting,Democratic Republic of the Congo,25.367356,-10.721101,exact_stage
Société Minière de Deziwa (SOMIDEZ),source,Democratic Republic of the Congo,25.763,-10.7891,exact_company
Lualaba Copper Smelter,Smelting,Democratic Republic of the Congo,25.50571,-10.76589,exact_stage
Xinyang Trading/Company,Trading,Hong Kong,114.169216,22.278537,exact_stage
Tenke Fungurume Mining (TFM),source,Democratic Republic of the Congo,26.197843,-10.569381,exact_company
Tenke Fungurume Mining (TFM),Smelting,Democratic Republic of the Congo,26.197843,-10.569381,exact_stage
IXM SA,Trading,South Africa,28.053686,-26.111363,exact_stage
Tshipuki,source,Democratic Republic of the Congo,25.439526,-10.732582,exact_company
Usine à Cuivre de Kolwezi (Usine à Cuivre de Kolwezi (UCK)),source,Democratic Republic of the Congo,25.449934,-10.688442,exact_company
